,country,date,daily_vaccinations,vaccines
0,Argentina,2020-12-29,6483,Sputnik V
1,Argentina,2020-12-30,15656,Sputnik V
2,Argentina,2020-12-31,15656,Sputnik V
3,Argentina,2021-01-01,11070,Sputnik V
4,Argentina,2021-01-02,8776,Sputnik V
5,Argentina,2021-01-03,7400,Sputnik V
6,Argentina,2021-01-04,6483,Sputnik V
7,Argentina,2021-01-05,7984,Sputnik V
8,Argentina,2021-01-06,8173,Sputnik V
9,Argentina,2021-01-07,8363,Sputnik V
10,Argentina,2021-01-08,10519,Sputnik V
11,Argentina,2021-01-09,11942,Sputnik V
12,Argentina,2021-01-10,13365,Sputnik V
13,Argentina,2021-01-11,14788,Sputnik V
14,Argentina,2021-01-12,14056,Sputnik V
15,Argentina,2021-01-13,13323,Sputnik V
16,Argentina,2021-01-14,13320,Sputnik V
17,Argentina,2021-01-15,13317,Sputnik V
18,Argentina,2021-01-16,12971,Sputnik V
19,Argentina,2021-01-17,12624,Sputnik V
20,Argentina,2021-01-18,12278,Sputnik V
21,Argentina,2021-01-19,11932,Sputnik V
22,Argentina,2021-01-20,11586,Sputnik V
23,Argentina,2021-01-21,11704,Sputnik V
24,Argentina,2021-01-22,11263,Sputnik V
25,Argentina,2021-01-23,11124,Sputnik V
26,Argentina,2021-01-24,10342,Sputnik V
27,Argentina,2021-01-25,9046,Sputnik V
28,Austria,2021-01-05,3368,Pfizer/BioNTech
29,Austria,2021-01-06,3368,Pfizer/BioNTech
30,Austria,2021-01-07,3368,Pfizer/BioNTech
31,Austria,2021-01-08,7263,Pfizer/BioNTech
32,Austria,2021-01-09,5791,Pfizer/BioNTech
33,Austria,2021-01-10,4705,Pfizer/BioNTech
34,Austria,2021-01-11,5031,Pfizer/BioNTech
35,Austria,2021-01-12,6366,Pfizer/BioNTech
36,Austria,2021-01-13,7365,Pfizer/BioNTech
37,Austria,2021-01-14,8429,Pfizer/BioNTech
38,Austria,2021-01-15,7747,Pfizer/BioNTech
39,Austria,2021-01-16,7953,Pfizer/BioNTech
40,Austria,2021-01-17,10129,Pfizer/BioNTech
41,Austria,2021-01-18,11852,Pfizer/BioNTech
42,Austria,2021-01-19,12472,Pfizer/BioNTech
43,Austria,2021-01-20,12489,Pfizer/BioNTech
44,Austria,2021-01-21,12552,Pfizer/BioNTech
45,Austria,2021-01-22,11797,Pfizer/BioNTech
46,Austria,2021-01-23,11765,Pfizer/BioNTech
47,Austria,2021-01-24,9622,Pfizer/BioNTech
48,Bahrain,2020-12-23,943,"Pfizer/BioNTech, Sinopharm"
49,Bahrain,2020-12-24,11106,"Pfizer/BioNTech, Sinopharm"
50,Bahrain,2020-12-25,5789,"Pfizer/BioNTech, Sinopharm"
51,Bahrain,2020-12-26,4197,"Pfizer/BioNTech, Sinopharm"
52,Bahrain,2020-12-27,3662,"Pfizer/BioNTech, Sinopharm"
53,Bahrain,2020-12-28,3210,"Pfizer/BioNTech, Sinopharm"
54,Bahrain,2020-12-29,2846,"Pfizer/BioNTech, Sinopharm"
55,Bahrain,2020-12-30,2622,"Pfizer/BioNTech, Sinopharm"
56,Bahrain,2020-12-31,1225,"Pfizer/BioNTech, Sinopharm"
57,Bahrain,2021-01-01,1258,"Pfizer/BioNTech, Sinopharm"
58,Bahrain,2021-01-02,1220,"Pfizer/BioNTech, Sinopharm"
59,Bahrain,2021-01-03,1011,"Pfizer/BioNTech, Sinopharm"
60,Bahrain,2021-01-04,943,"Pfizer/BioNTech, Sinopharm"
61,Bahrain,2021-01-05,1122,"Pfizer/BioNTech, Sinopharm"
62,Bahrain,2021-01-06,1594,"Pfizer/BioNTech, Sinopharm"
63,Bahrain,2021-01-07,1942,"Pfizer/BioNTech, Sinopharm"
64,Bahrain,2021-01-08,2706,"Pfizer/BioNTech, Sinopharm"
65,Bahrain,2021-01-09,3437,"Pfizer/BioNTech, Sinopharm"
66,Bahrain,2021-01-10,4080,"Pfizer/BioNTech, Sinopharm"
67,Bahrain,2021-01-11,4427,"Pfizer/BioNTech, Sinopharm"
68,Bahrain,2021-01-12,4840,"Pfizer/BioNTech, Sinopharm"
69,Bahrain,2021-01-13,4699,"Pfizer/BioNTech, Sinopharm"
70,Bahrain,2021-01-14,5332,"Pfizer/BioNTech, Sinopharm"
71,Bahrain,2021-01-15,6361,"Pfizer/BioNTech, Sinopharm"
