,country,date,daily_vaccinations,vaccines,polynomial_regression,knn,mean
0,Argentina,12/29/2020,,Sputnik V,10301,42269,11446
1,Argentina,12/30/2020,15656.0,Sputnik V,15656,15656,15656
2,Argentina,12/31/2020,15656.0,Sputnik V,15656,15656,15656
3,Argentina,1/1/2021,11070.0,Sputnik V,11070,11070,11070
4,Argentina,1/2/2021,8776.0,Sputnik V,8776,8776,8776
5,Argentina,1/3/2021,7400.0,Sputnik V,7400,7400,7400
6,Argentina,1/4/2021,6483.0,Sputnik V,6483,6483,6483
7,Argentina,1/5/2021,7984.0,Sputnik V,7984,7984,7984
8,Argentina,1/6/2021,8173.0,Sputnik V,8173,8173,8173
9,Argentina,1/7/2021,8363.0,Sputnik V,8363,8363,8363
10,Argentina,1/8/2021,10519.0,Sputnik V,10519,10519,10519
11,Argentina,1/9/2021,11942.0,Sputnik V,11942,11942,11942
12,Argentina,1/10/2021,13365.0,Sputnik V,13365,13365,13365
13,Argentina,1/11/2021,14788.0,Sputnik V,14788,14788,14788
14,Argentina,1/12/2021,14056.0,Sputnik V,14056,14056,14056
15,Argentina,1/13/2021,13323.0,Sputnik V,13323,13323,13323
16,Argentina,1/14/2021,13320.0,Sputnik V,13320,13320,13320
17,Argentina,1/15/2021,13317.0,Sputnik V,13317,13317,13317
18,Argentina,1/16/2021,12971.0,Sputnik V,12971,12971,12971
19,Argentina,1/17/2021,12624.0,Sputnik V,12624,12624,12624
20,Argentina,1/18/2021,12278.0,Sputnik V,12278,12278,12278
21,Argentina,1/19/2021,11932.0,Sputnik V,11932,11932,11932
22,Argentina,1/20/2021,11586.0,Sputnik V,11586,11586,11586
23,Argentina,1/21/2021,11704.0,Sputnik V,11704,11704,11704
24,Argentina,1/22/2021,11263.0,Sputnik V,11263,11263,11263
25,Argentina,1/23/2021,11124.0,Sputnik V,11124,11124,11124
26,Argentina,1/24/2021,10342.0,Sputnik V,10342,10342,10342
27,Argentina,1/25/2021,9046.0,Sputnik V,9046,9046,9046
28,Austria,1/5/2021,,Pfizer/BioNTech,2237,1230,8424
29,Austria,1/6/2021,3368.0,Pfizer/BioNTech,3368,3368,3368
30,Austria,1/7/2021,3368.0,Pfizer/BioNTech,3368,3368,3368
31,Austria,1/8/2021,7263.0,Pfizer/BioNTech,7263,7263,7263
32,Austria,1/9/2021,5791.0,Pfizer/BioNTech,5791,5791,5791
33,Austria,1/10/2021,4705.0,Pfizer/BioNTech,4705,4705,4705
34,Austria,1/11/2021,5031.0,Pfizer/BioNTech,5031,5031,5031
35,Austria,1/12/2021,6366.0,Pfizer/BioNTech,6366,6366,6366
36,Austria,1/13/2021,7365.0,Pfizer/BioNTech,7365,7365,7365
37,Austria,1/14/2021,8429.0,Pfizer/BioNTech,8429,8429,8429
38,Austria,1/15/2021,7747.0,Pfizer/BioNTech,7747,7747,7747
39,Austria,1/16/2021,7953.0,Pfizer/BioNTech,7953,7953,7953
40,Austria,1/17/2021,10129.0,Pfizer/BioNTech,10129,10129,10129
41,Austria,1/18/2021,11852.0,Pfizer/BioNTech,11852,11852,11852
42,Austria,1/19/2021,12472.0,Pfizer/BioNTech,12472,12472,12472
43,Austria,1/20/2021,12489.0,Pfizer/BioNTech,12489,12489,12489
44,Austria,1/21/2021,12552.0,Pfizer/BioNTech,12552,12552,12552
45,Austria,1/22/2021,11797.0,Pfizer/BioNTech,11797,11797,11797
46,Austria,1/23/2021,11765.0,Pfizer/BioNTech,11765,11765,11765
47,Austria,1/24/2021,9622.0,Pfizer/BioNTech,9622,9622,9622
48,Bahrain,12/23/2020,,"Pfizer/BioNTech, Sinopharm",7296,5262,4089
49,Bahrain,12/24/2020,11106.0,"Pfizer/BioNTech, Sinopharm",11106,11106,11106
50,Bahrain,12/25/2020,5789.0,"Pfizer/BioNTech, Sinopharm",5789,5789,5789
51,Bahrain,12/26/2020,4197.0,"Pfizer/BioNTech, Sinopharm",4197,4197,4197
52,Bahrain,12/27/2020,3662.0,"Pfizer/BioNTech, Sinopharm",3662,3662,3662
53,Bahrain,12/28/2020,3210.0,"Pfizer/BioNTech, Sinopharm",3210,3210,3210
54,Bahrain,12/29/2020,2846.0,"Pfizer/BioNTech, Sinopharm",2846,2846,2846
55,Bahrain,12/30/2020,2622.0,"Pfizer/BioNTech, Sinopharm",2622,2622,2622
56,Bahrain,12/31/2020,1225.0,"Pfizer/BioNTech, Sinopharm",1225,1225,1225
57,Bahrain,1/1/2021,1258.0,"Pfizer/BioNTech, Sinopharm",1258,1258,1258
58,Bahrain,1/2/2021,1220.0,"Pfizer/BioNTech, Sinopharm",1220,1220,1220
59,Bahrain,1/3/2021,1011.0,"Pfizer/BioNTech, Sinopharm",1011,1011,1011
60,Bahrain,1/4/2021,943.0,"Pfizer/BioNTech, Sinopharm",943,943,943
61,Bahrain,1/5/2021,1122.0,"Pfizer/BioNTech, Sinopharm",1122,1122,1122
62,Bahrain,1/6/2021,1594.0,"Pfizer/BioNTech, Sinopharm",1594,1594,1594
63,Bahrain,1/7/2021,1942.0,"Pfizer/BioNTech, Sinopharm",1942,1942,1942
64,Bahrain,1/8/2021,2706.0,"Pfizer/BioNTech, Sinopharm",2706,2706,2706
